age	workclass	fnlwgt	education	education.num	marital.status	occupation	relationship	race	sex	capital.gain	capital.loss	hours.per.week	native.country	income
29	Private	280618	Some-college	10	Married-civ-spouse	Handlers-cleaners	Husband	White	Male	0	0	40	United-States	<=50K
19	Private	439779	Some-college	10	Never-married	Sales	Own-child	White	Male	0	0	15	United-States	<=50K
28	Private	204734	Some-college	10	Married-civ-spouse	Tech-support	Wife	White	Female	0	0	40	United-States	<=50K
35	Private	107991	11th	7	Never-married	Sales	Not-in-family	White	Male	0	0	45	United-States	<=50K
20	Private	54152	Some-college	10	Never-married	Adm-clerical	Own-child	White	Female	0	0	30	?	<=50K
36	Private	240323	Some-college	10	Widowed	Adm-clerical	Unmarried	Black	Female	0	0	40	United-States	<=50K
46	Private	279196	Bachelors	13	Never-married	Craft-repair	Not-in-family	White	Female	0	0	40	United-States	<=50K
35	Private	48123	12th	8	Married-civ-spouse	Craft-repair	Wife	White	Female	0	0	50	United-States	<=50K
28	Private	166481	7th-8th	4	Married-civ-spouse	Handlers-cleaners	Husband	Other	Male	0	2179	40	Puerto-Rico	<=50K
23	Private	129042	HS-grad	9	Never-married	Machine-op-inspct	Unmarried	Black	Female	0	0	40	United-States	<=50K
45	Private	100651	HS-grad	9	Divorced	Other-service	Not-in-family	White	Male	0	1980	40	United-States	<=50K
35	?	35854	Some-college	10	Never-married	?	Own-child	White	Female	0	0	40	United-States	<=50K
39	Private	280570	Bachelors	13	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	45	United-States	<=50K
22	Private	204160	HS-grad	9	Divorced	Machine-op-inspct	Own-child	White	Female	0	0	40	United-States	<=50K
45	Private	195949	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	40	United-States	<=50K
19	Private	27433	11th	7	Never-married	Handlers-cleaners	Not-in-family	White	Male	0	0	40	United-States	<=50K
31	Private	91964	Some-college	10	Never-married	Adm-clerical	Other-relative	White	Male	0	0	40	United-States	<=50K
53	Private	30244	Assoc-acdm	12	Married-civ-spouse	Exec-managerial	Husband	White	Male	15024	0	40	United-States	>50K
51	Private	48343	Masters	14	Married-civ-spouse	Exec-managerial	Husband	White	Male	7298	0	50	United-States	>50K
25	Private	231714	Some-college	10	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	0	0	40	United-States	<=50K
77	?	152900	5th-6th	3	Married-civ-spouse	?	Husband	White	Male	0	0	20	United-States	<=50K
45	Private	98092	HS-grad	9	Married-civ-spouse	Sales	Husband	White	Male	0	0	60	United-States	<=50K
25	Private	181772	Some-college	10	Married-civ-spouse	Craft-repair	Husband	White	Male	0	0	40	United-States	<=50K
23	Private	38251	HS-grad	9	Never-married	Other-service	Own-child	White	Female	0	0	40	United-States	<=50K
33	Private	117983	HS-grad	9	Never-married	Adm-clerical	Not-in-family	White	Female	0	0	41	United-States	<=50K
49	Private	28791	Some-college	10	Divorced	Other-service	Not-in-family	White	Female	0	0	40	United-States	<=50K
57	Local-gov	143910	Bachelors	13	Divorced	Exec-managerial	Not-in-family	White	Male	0	0	40	United-States	<=50K
54	Private	340476	HS-grad	9	Separated	Sales	Unmarried	White	Female	0	0	35	United-States	<=50K
24	Private	202570	Bachelors	13	Never-married	Prof-specialty	Own-child	Black	Male	0	0	15	United-States	<=50K
41	Private	142717	Some-college	10	Divorced	Tech-support	Unmarried	Black	Female	0	0	36	United-States	<=50K
57	State-gov	254949	HS-grad	9	Married-civ-spouse	Exec-managerial	Husband	White	Male	0	0	40	United-States	>50K
59	Self-emp-inc	31359	Masters	14	Married-civ-spouse	Exec-managerial	Husband	White	Male	15024	0	80	United-States	>50K
46	Private	109089	HS-grad	9	Divorced	Craft-repair	Not-in-family	White	Male	0	0	37	United-States	<=50K
46	Federal-gov	268281	Assoc-acdm	12	Divorced	Adm-clerical	Unmarried	White	Female	0	0	40	United-States	<=50K
34	Private	134886	Some-college	10	Never-married	Adm-clerical	Not-in-family	White	Female	0	0	40	United-States	<=50K
27	Private	223751	Some-college	10	Never-married	Craft-repair	Not-in-family	White	Male	0	0	45	United-States	<=50K
41	Self-emp-inc	32185	Bachelors	13	Married-civ-spouse	Tech-support	Husband	White	Male	0	0	40	United-States	<=50K
32	Private	205019	Assoc-acdm	12	Never-married	Sales	Not-in-family	Black	Male	0	0	50	United-States	<=50K
28	Private	161087	Some-college	10	Never-married	Exec-managerial	Not-in-family	Black	Female	0	0	45	Jamaica	<=50K
39	Self-emp-inc	283338	Bachelors	13	Married-civ-spouse	Exec-managerial	Husband	White	Male	7298	0	40	United-States	>50K
43	Private	281422	Assoc-acdm	12	Never-married	Adm-clerical	Not-in-family	Black	Female	0	0	45	United-States	<=50K
55	Private	139843	HS-grad	9	Divorced	Exec-managerial	Not-in-family	White	Female	0	0	60	United-States	<=50K
34	Self-emp-inc	127651	Bachelors	13	Divorced	Farming-fishing	Not-in-family	White	Male	0	0	60	United-States	<=50K
44	Private	128354	Masters	14	Divorced	Exec-managerial	Unmarried	White	Female	0	0	40	United-States	<=50K
18	Private	198087	HS-grad	9	Never-married	Sales	Own-child	White	Female	0	0	30	United-States	<=50K
65	?	325537	Assoc-voc	11	Married-civ-spouse	?	Husband	White	Male	0	0	50	United-States	>50K
36	Self-emp-not-inc	347491	Doctorate	16	Married-civ-spouse	Prof-specialty	Husband	White	Male	0	0	35	United-States	<=50K
42	Private	166740	Bachelors	13	Divorced	Prof-specialty	Not-in-family	White	Male	0	0	40	United-States	<=50K
30	Self-emp-not-inc	172748	7th-8th	4	Never-married	Craft-repair	Own-child	White	Male	0	0	40	United-States	<=50K
55	Private	190257	HS-grad	9	Married-civ-spouse	Farming-fishing	Husband	White	Male	0	0	53	United-States	>50K
